date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2
2015-06-30,3,2010-06-30,2015-06-30,1259,-4295.407495586524,True,2,risk_on,0.9999999999954525,2,risk_on,0.9946839684918821,,1.0044373169981075e-26,4.543627224898814e-12,0.9999999999954525,0.002656763906961746,0.002659267601152372,0.9946839684918821
2015-07-31,3,2010-08-02,2015-07-31,1259,-3902.213056649072,True,0,risk_on,1.0,0,risk_on,0.9970593680829144,,1.0,1.2220297898115905e-21,2.0853070444647172e-39,0.9970593680829144,0.0014703173411850308,0.00147031457590049
2015-08-31,3,2010-08-31,2015-08-31,1259,-4425.431787574624,True,1,defensive_risk_off,1.0,1,defensive_risk_off,0.9823618304773859,,2.2142875785569605e-35,1.0,6.8965459811489e-47,0.017638169522614017,0.9823618304773859,2.6678611698507234e-37
2015-09-30,3,2010-09-30,2015-09-30,1259,-4264.970997246167,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9903054312081564,,7.60319973582795e-41,1.0056940203572277e-27,1.0,1.8670448332407858e-29,0.009694568791843564,0.9903054312081564
2015-10-30,3,2010-11-01,2015-10-30,1259,-3910.2408063653825,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9947105409748322,,1.1210180006953366e-21,7.220009477394235e-38,1.0,0.005289459025167665,1.2346884737654905e-23,0.9947105409748322
2015-11-30,3,2010-11-30,2015-11-30,1259,-3528.880503520024,True,2,inflation_rates_shock,0.9999992678065561,2,inflation_rates_shock,0.9899328284959743,,7.321933063821918e-07,2.8571603466490983e-23,0.9999992678065561,0.0040281219782115985,0.006039049525676672,0.9899328284959743
2015-12-31,3,2010-12-31,2015-12-31,1259,-4019.0077338786086,True,1,inflation_rates_shock,0.9999999506553662,1,inflation_rates_shock,0.9926436613347938,,4.934451092781874e-08,0.9999999506553662,1.898252909992387e-25,0.0048993308411923,0.9926436613347938,0.0024570078238910454
2016-01-29,3,2011-01-31,2016-01-29,1258,-4126.663030298038,True,1,defensive_risk_off,0.9999999999536158,1,defensive_risk_off,0.9728016320084114,,4.632144311661832e-29,0.9999999999536158,4.663044585260744e-11,1.9272504219578866e-13,0.9728016320084114,0.027198367991642044
2016-02-29,3,2011-02-28,2016-02-29,1259,-3872.849441826061,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9765468439845294,,1.167798645540255e-13,3.459553477683915e-51,1.0,0.0234531560155868,4.934102935577253e-16,0.9765468439845294
2016-03-31,3,2011-03-31,2016-03-31,1258,-3907.9124528929115,True,0,inflation_rates_shock,1.0,0,inflation_rates_shock,0.9866791863969719,,1.0,2.3255442727709148e-30,2.217970406114057e-19,0.9866791863969719,0.010656575511349187,0.0026642380916788414
2016-04-29,3,2011-04-29,2016-04-29,1259,-3211.064526595365,True,2,inflation_rates_shock,1.0,2,inflation_rates_shock,0.9895706244702615,,4.865950759642105e-29,2.8451170858203998e-27,1.0,0.0062576460923025835,0.0041717294374358825,0.9895706244702615
2016-05-31,3,2011-05-31,2016-05-31,1259,-3458.743678783706,True,0,risk_on,0.9999911065033146,0,risk_on,0.9970701812866647,,0.9999911065033146,1.1124856596491091e-42,8.893496614672272e-06,0.9970701812866647,0.001460563181533456,0.0014692555317311034
2016-06-30,3,2011-06-30,2016-06-30,1259,-3353.6833371938505,True,0,risk_on,1.0,0,risk_on,0.9970804322233723,,1.0,2.6106753785266637e-53,1.9764287204865473e-16,0.9970804322233723,0.0014597739558284625,0.001459793820799503
2016-07-29,3,2011-07-29,2016-07-29,1259,-3178.799072752717,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9913219744166284,,5.1335472371120544e-24,1.0,2.4318885504025672e-79,0.0034713834982084313,0.9913219744166284,0.005206642085163085
2016-08-31,3,2011-08-31,2016-08-31,1259,-4617.234621626882,True,0,inflation_rates_shock,0.9999999999236024,0,inflation_rates_shock,0.987870833743678,,0.9999999999236024,7.630673767189468e-11,8.13309357822069e-22,0.987870833743678,0.00808787196263777,0.004041294293593223
2016-09-30,3,2011-09-30,2016-09-30,1259,-5427.086385072936,True,1,risk_on,1.0,1,risk_on,0.9957294175334809,,6.7799639431395986e-49,1.0,2.5893402532671468e-138,0.0028488630350956504,0.9957294175334809,0.0014217194314235528
2016-10-31,3,2011-10-31,2016-10-31,1259,-5963.539393671175,True,0,risk_on,1.0,0,risk_on,0.9942567978976647,,1.0,2.602323675327851e-83,2.2977427622680562e-26,0.9942567978976647,3.8156532138790493e-28,0.005743202102335231
