date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,current_prob_regime_4,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3,next_prob_regime_4
2013-08-30,5,2008-09-02,2013-08-30,1259,4112.762135776805,True,0,risk_on,1.0,0,risk_on,0.9904379003210005,,1.0,1.083986816410142e-25,0.0,0.0,0.0,0.9904379003210005,0.00956209967899954,0.0,0.0,0.0
2013-09-30,5,2008-09-30,2013-09-30,1259,5491.543296422716,True,3,risk_on,1.0,3,risk_on,0.9834198132603372,,3.1057585047368656e-66,1.0851424519944182e-20,0.0,1.0,0.0,5.064153440549547e-23,0.01658018673966271,0.0,0.9834198132603372,0.0
2013-10-31,5,2008-10-31,2013-10-31,1259,4435.1851118927925,True,4,risk_on,1.0,4,risk_on,0.9963223088897483,,5.621611077776533e-286,2.7538788607783585e-116,1.3870913829801027e-290,0.0,1.0,1.776375328699982e-66,4.348768936484429e-32,0.003677691110251772,5.354696331358161e-288,0.9963223088897483
2013-11-29,5,2008-12-01,2013-11-29,1259,4842.089750408031,True,2,recovery_or_normalization,1.0,2,recovery_or_normalization,0.9959838714323833,,0.0,6.914530595207611e-185,1.0,4.773451251541153e-116,0.0,0.0,4.0529454406341775e-118,0.9959838714323833,0.004016128567616711,6.282927529384536e-264
2013-12-31,5,2008-12-31,2013-12-31,1259,3784.9031874004936,True,2,inflation_rates_shock,1.0,2,inflation_rates_shock,0.9958051873519068,,0.0,1.5480803683609086e-119,1.0,4.21218767044182e-236,0.0,0.0,0.0041948126480931035,0.9958051873519068,1.9640343323956478e-121,0.0
2014-01-31,5,2009-02-02,2014-01-31,1259,2732.4041074373667,True,0,risk_on,1.0,0,risk_on,0.9959829812842624,,1.0,5.133288498622861e-34,9.472422439150204e-66,0.0,3.114623764111928e-63,0.9959829812842624,0.0040170187157374726,7.234918331091776e-36,0.0,3.617468602800067e-36
2014-02-28,5,2009-03-02,2014-02-28,1259,2265.1070945212355,True,4,risk_on,1.0,4,risk_on,0.9961611944692998,,2.76493043e-316,1.0896083204095508e-74,0.0,4.917688489017725e-53,1.0,4.383790004384426e-294,6.264446543869836e-55,0.0,0.0038388055307001573,0.9961611944692998
2014-03-31,5,2009-03-31,2014-03-31,1259,2895.9216395580993,True,4,risk_on,1.0,4,risk_on,0.9894943187300251,,3.964598146916722e-42,0.0,9.432179271780003e-102,5.709281668168012e-143,1.0,0.01050568126997495,0.0,2.796896245035166e-44,4.601394121998439e-104,0.9894943187300251
2014-04-30,5,2009-04-30,2014-04-30,1259,844.4894566039163,True,3,risk_on,1.0,3,risk_on,0.9930553477368678,,1.881298997057305e-167,6.525200300351494e-28,4.307025466532552e-81,1.0,0.0,7.829309109103529e-83,0.006944652263132212,7.094794635585367e-30,0.9930553477368678,1.54023905942295e-292
2014-05-30,5,2009-06-01,2014-05-30,1259,-106.58397257545725,True,2,mixed_or_neutral_2,0.9999999999999858,2,mixed_or_neutral_2,0.9830819436361818,,1.6966759357323997e-142,1.0758671839806846e-14,0.9999999999999858,1.9123377924554953e-139,0.0,0.004833620313002434,0.007250780766758534,0.9830819436361818,0.004833655284053689,0.0
