date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3
2015-05-29,4,2010-06-01,2015-05-29,1258,-2490.1395818505002,True,1,risk_on,1.0,1,risk_on,0.9890173659102716,,2.986814524884182e-186,1.0,6.3460710079654e-125,2.1368445057609039e-19,7.847889762592754e-22,0.9890173659102716,7.847855324572641e-22,0.010982634089728344
2015-06-30,4,2010-06-30,2015-06-30,1259,-2228.0381310889493,True,3,risk_on,0.9999999306173801,3,risk_on,0.990867662868735,,3.1184312482877523e-58,6.938271556175118e-08,1.3164227396795159e-37,0.9999999306173801,2.2551565572686098e-39,0.009132336947377459,1.8398330076207288e-10,0.990867662868735
2015-07-31,4,2010-08-02,2015-07-31,1259,-2709.571459006838,True,3,inflation_rates_shock,0.9999999999772626,3,inflation_rates_shock,0.972552014422947,,7.81534079380221e-88,2.291669686686291e-11,1.3602856509202806e-53,0.9999999999772626,0.003920186942924836,0.019605846016915462,0.003921952617391951,0.972552014422947
2015-08-31,4,2010-08-31,2015-08-31,1259,-2548.091714058749,True,3,defensive_risk_off,1.0,3,defensive_risk_off,0.9818199019288113,,2.0597782177248055e-86,9.150869216403328e-121,1.0814659827988497e-76,1.0,0.018180098071188713,3.694147979545412e-79,2.4063527360023722e-67,0.9818199019288113
2015-09-30,4,2010-09-30,2015-09-30,1259,-2538.4566275596726,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9868528237563864,,2.3625642481484242e-34,6.01485637432401e-68,1.0,3.893214945583967e-53,0.013147176243613745,9.774209424247477e-37,0.9868528237563864,2.9285768645714688e-36
2015-10-30,4,2010-11-01,2015-10-30,1259,-2827.8914674093417,True,0,recovery_or_normalization,1.0,0,recovery_or_normalization,0.9906993008070047,,1.0,1.219305272952942e-21,5.821846309035519e-15,3.875446015784734e-193,0.9906993008070047,0.004653093161882446,0.004647606031118572,1.6216706271244025e-24
2015-11-30,4,2010-11-30,2015-11-30,1259,-2413.855444671645,True,3,recovery_or_normalization,0.9999999999995453,3,recovery_or_normalization,0.9769221445960942,,6.251413313178711e-25,3.3863099409116577e-13,1.6342543931850576e-49,0.9999999999995453,0.01154325113763877,0.011534604266150869,1.228826018235132e-26,0.9769221445960942
2015-12-31,4,2010-12-31,2015-12-31,1259,-2620.3411923875133,True,1,recovery_or_normalization,1.0,1,recovery_or_normalization,0.9871147881651947,,1.5999003267605822e-33,1.0,1.1216022536954394e-44,2.4927262999741387e-14,3.753938933697531e-16,0.9871147881651947,0.006442620110182424,0.006442591724647404
2016-01-29,4,2011-01-31,2016-01-29,1258,-2355.9940679417978,True,3,defensive_risk_off,0.9999999944930096,3,defensive_risk_off,0.9727160187499031,,1.730094258975005e-39,4.151642279845532e-47,5.507199899706066e-09,0.9999999944930096,1.951051388506354e-11,1.9510513884865097e-11,0.027283981211285373,0.9727160187499031
2016-02-29,4,2011-02-28,2016-02-29,1259,-2339.1897864058947,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9767347578854326,,2.2407171922421627e-71,4.404073650001814e-53,1.0,6.1358001536855366e-18,2.5614235260864084e-20,2.5614629814297947e-20,0.9767347578854326,0.023265242114567406
2016-03-31,4,2011-03-31,2016-03-31,1258,-1903.629409395297,True,3,recovery_or_normalization,1.0,3,recovery_or_normalization,0.9878215398952845,,8.424194600520442e-110,1.0673028813606348e-22,4.50109259245279e-30,1.0,0.004059111247519326,0.004059111201024771,0.0040602376561713095,0.9878215398952845
2016-04-29,4,2011-04-29,2016-04-29,1259,-2145.8671735533203,True,0,inflation_rates_shock,1.0,0,inflation_rates_shock,0.9862367316028718,,1.0,9.54969079559558e-38,5.032793100934774e-22,3.137985465997687e-31,0.9862367316028718,0.005505868582543726,0.0027524604393375837,0.005504939375246844
2016-05-31,4,2011-05-31,2016-05-31,1259,-1872.1395277397244,True,0,recovery_or_normalization,0.999999866602602,0,recovery_or_normalization,0.9875926191174254,,0.999999866602602,1.3339598093667512e-07,9.629025193399666e-42,1.4382993166371297e-12,0.9875926191174254,0.006175875875934623,0.003143663866000509,0.003087841140660586
2016-06-30,4,2011-06-30,2016-06-30,1259,-2025.4866633672987,True,1,inflation_rates_shock,0.999999999994543,1,inflation_rates_shock,0.9902088199809864,,1.5595510138442018e-30,0.999999999994543,2.063092506355527e-57,5.550036211331883e-12,5.769895132851922e-17,0.9902088199809864,0.0038961212758550435,0.005895058743251387
2016-07-29,4,2011-07-29,2016-07-29,1259,-2186.321875583099,True,1,recovery_or_normalization,1.0,1,recovery_or_normalization,0.9864756903752988,,3.30258365790031e-38,1.0,7.89920770721851e-83,4.6154525097695485e-15,9.17290907947761e-17,0.9864756903752988,0.009028898126301324,0.004495411498404323
2016-08-31,4,2011-08-31,2016-08-31,1259,-2978.3131569199777,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9874526119147536,,2.9138285399725314e-14,1.0,9.792284802821183e-72,2.371105295686045e-125,0.00836568014895537,0.9874526119147536,0.004181707936320078,1.012135603397752e-73
2016-09-30,4,2011-09-30,2016-09-30,1259,-3247.1706450455004,True,1,inflation_rates_shock,0.9999999999972715,1,inflation_rates_shock,0.9863820508658249,,2.564174666725702e-12,0.9999999999972715,1.503539630103849e-103,4.545276677637321e-51,0.009079684254456325,0.9863820508658249,0.0022690956994557516,0.002269169180098668
2016-10-31,4,2011-10-31,2016-10-31,1259,-3679.801316265841,True,0,risk_on,1.0,0,risk_on,0.9929596421423157,,1.0,1.624682067483564e-13,5.727361223235627e-165,1.8191043899869762e-63,0.9929596421423157,0.007040357857846019,4.105317371299411e-16,4.1054781899531063e-16
2016-11-30,4,2011-11-30,2016-11-30,1259,-4479.923156293349,True,1,inflation_rates_shock,0.9999986374905535,1,inflation_rates_shock,0.9863281924113323,,1.407046740668153e-44,0.9999986374905535,1.3625090382421816e-06,5.930254137586846e-66,1.033330007339392e-08,0.9863281924113323,0.013671797254959497,3.2321959571364953e-46
