date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3
2024-04-11,2,risk_on,1.4515197735846224e-10,5.83513384805016e-08,0.9999999415031214,1.8959162055966414e-78
2024-04-12,2,risk_on,1.277714785619742e-10,1.183736899822946e-07,0.9999998814983043,9.137317928146735e-75
2024-04-15,2,risk_on,6.347613504022936e-10,5.785212899283368e-08,0.9999999415122164,1.657821912038813e-76
2024-04-16,2,risk_on,1.7865454117778676e-09,2.541052212486216e-07,0.9999997441082414,9.367899218346033e-75
2024-04-17,2,risk_on,9.905846960682266e-09,1.8203303510021166e-06,0.9999981697636409,5.260425304751084e-71
2024-04-18,2,risk_on,3.855837094311143e-08,1.6634387942747999e-06,0.9999982980021673,1.4726783413540189e-71
2024-04-19,2,risk_on,1.7171498069118344e-07,4.955667096422589e-06,0.9999948726185295,5.890664219695506e-70
2024-04-22,2,risk_on,2.6381448748416597e-08,1.49996016802711e-06,0.9999984736580525,1.3104306992719576e-71
2024-04-23,2,risk_on,2.4316560212202088e-09,5.844327363009666e-07,0.999999413135983,1.6305415254698495e-73
2024-04-24,2,risk_on,3.1610400691106892e-09,5.114321537935433e-07,0.9999994854062112,1.4955636078204807e-72
2024-04-25,2,risk_on,1.8074799871706233e-08,2.0488002089631875e-06,0.9999979331244945,1.336136362554483e-72
2024-04-26,2,risk_on,1.8363797024214167e-09,5.401546928861555e-07,0.9999994580086072,4.3370948395612794e-75
2024-04-29,2,risk_on,3.049785936029973e-09,2.73817232706153e-07,0.9999997231334802,3.804202219920337e-73
2024-04-30,2,risk_on,1.0502984295330014e-08,3.1302786298493854e-06,0.9999968592177748,6.718839617486787e-75
2024-05-01,2,risk_on,1.1136041314199696e-08,1.1030828376131548e-05,0.9999889580349458,4.0720580560632314e-80
2024-05-02,2,risk_on,9.984302774675086e-10,4.020761805368695e-06,0.999995978238887,7.728278567935101e-79
2024-05-03,2,risk_on,1.5042788698881818e-11,1.734970156927478e-07,0.9999998264884349,1.122515462958402e-92
2024-05-06,2,risk_on,6.010186848810214e-12,2.7134119598045615e-08,0.9999999728606784,2.892070808835193e-93
2024-05-07,2,risk_on,8.13091911593929e-12,1.8681031603467684e-08,0.9999999813117031,6.693842303384032e-94
2024-05-08,2,risk_on,4.612879799674883e-12,6.180480302248906e-08,0.999999938190742,2.2695151754616032e-96
2024-05-09,2,risk_on,2.750321765791121e-12,8.796912118183971e-10,0.9999999991177901,5.825726927510792e-99
2024-05-10,2,risk_on,3.921152363778873e-12,4.280651732540991e-09,0.99999999571628,2.022711275548593e-99
2024-05-13,2,risk_on,2.9610067854692283e-12,1.4286729886603869e-09,0.9999999985684553,7.407327870854693e-99
2024-05-14,2,risk_on,8.832924924290295e-12,2.316797874191555e-11,0.9999999999672582,1.1503371342698585e-92
2024-05-15,2,risk_on,2.2655785194249427e-11,2.021409470821535e-13,0.9999999999763531,8.547246931602376e-95
2024-05-16,2,risk_on,2.0536599703783772e-11,1.8296015342019197e-12,0.9999999999781721,4.263670905786268e-93
2024-05-17,2,risk_on,4.141612915094345e-11,9.789289970513982e-13,0.9999999999581632,1.9005635454701547e-91
2024-05-20,2,risk_on,1.441085480387286e-10,1.1166496690930262e-12,0.9999999998544808,6.776853094978498e-92
2024-05-21,2,risk_on,7.834203383519139e-11,1.1278020640384264e-12,0.9999999999199645,8.011860582891628e-93
2024-05-22,2,risk_on,1.6894522221454925e-11,1.167867989566822e-11,0.9999999999708962,1.7049959386885012e-92
2024-05-23,2,risk_on,1.5576861314247938e-11,9.36621157128024e-12,0.9999999999745341,7.782311325642876e-94
2024-05-24,2,risk_on,1.804466301637517e-11,1.451682646459759e-12,0.9999999999799911,3.8156312805211994e-94
2024-05-28,2,risk_on,8.198525873644297e-12,3.229604165230362e-11,0.9999999999599822,1.4116291440757764e-95
2024-05-29,2,risk_on,3.4068427226700988e-12,2.488763248411958e-10,0.9999999997471605,1.0012916536491032e-97
2024-05-30,2,risk_on,5.373741098496506e-11,6.6278845963526e-11,0.9999999998799467,4.664997650548386e-93
2024-05-31,2,risk_on,1.1125883226786772e-10,1.0038739785773405e-10,0.9999999997889972,5.725860679398543e-94
2024-06-03,2,risk_on,2.4034740749992822e-11,3.152661994131134e-11,0.9999999999436113,4.223411375006887e-95
2024-06-04,2,risk_on,2.575701630864969e-12,2.944017961337985e-11,0.9999999999672582,1.031684330384423e-101
2024-06-05,2,risk_on,3.907393371454044e-12,3.2738206386317916e-11,0.9999999999636202,3.1589844980408724e-104
2024-06-06,2,risk_on,1.3121483006618649e-12,1.3606391198361987e-11,0.9999999999854481,1.6171828802744278e-105
2024-06-07,2,risk_on,3.3291848828090096e-12,3.005516757710992e-10,0.9999999996962288,2.1375036737336366e-104
2024-06-10,2,risk_on,2.116348450952992e-12,1.028212225726619e-09,0.999999998970452,1.6883363451248664e-104
2024-06-11,2,risk_on,1.9331081298044502e-13,3.225948625053987e-11,0.9999999999672582,6.753425034666689e-110
2024-06-12,2,risk_on,2.7812677291794106e-13,1.1418675216524807e-12,0.999999999998181,1.3134647151371603e-110
2024-06-13,2,risk_on,4.005917299408553e-13,1.5681253280192258e-12,0.999999999998181,2.536942004213241e-109
2024-06-14,2,risk_on,3.544211859788876e-13,4.008115975448882e-11,0.9999999999599822,8.10568431868224e-108
2024-06-17,2,risk_on,1.7924008684778184e-12,1.0088694254878536e-10,0.9999999998981366,4.053411659883569e-104
2024-06-18,2,risk_on,1.289789230301983e-12,1.0254987740996183e-11,0.9999999999890861,1.4007539360076365e-104
2024-06-20,2,risk_on,5.835673797234458e-13,1.7528960911626302e-11,0.9999999999818101,2.5455457008887473e-107
2024-06-21,2,risk_on,2.8325683069123877e-13,3.777152553692364e-11,0.9999999999618012,1.0334347633596773e-106
2024-06-24,2,risk_on,7.502934225840076e-13,1.2513258258589952e-11,0.9999999999872671,2.529808268634951e-107
2024-06-25,2,risk_on,3.4338747426241425e-12,2.7376482219925077e-12,0.999999999994543,2.4378379499380424e-107
2024-06-26,2,risk_on,1.7650732422350301e-12,3.7421233588827174e-11,0.9999999999599822,2.9205679885777083e-106
2024-06-27,2,risk_on,2.782600450587829e-12,7.650003269892397e-12,0.9999999999890861,1.1699433743608677e-105
2024-06-28,2,risk_on,1.1577740529371418e-12,7.814659329434844e-13,0.999999999998181,8.582280356856302e-108
2024-07-01,2,risk_on,8.727778609993544e-12,1.4073876650848053e-10,0.9999999998508429,2.1207245563534116e-104
2024-07-02,2,risk_on,1.01472278834664e-11,1.0895713993557318e-10,0.9999999998817657,1.6199665491869504e-104
2024-07-03,2,risk_on,5.9909241018804574e-12,5.97670347742908e-11,0.9999999999345164,2.1790901123086913e-105
2024-07-05,2,risk_on,1.3929501068882812e-12,4.0738433959076765e-12,0.999999999994543,1.283673391251534e-111
2024-07-08,2,risk_on,3.6715137818410826e-14,5.470329615677422e-12,0.999999999994543,6.210877585583658e-120
