date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2
2023-10-03,0,risk_on,0.9999758505788302,2.414942151197433e-05,3.2750191720393646e-97
2023-10-04,0,risk_on,0.9999947377811834,5.262218831214371e-06,6.023564749534463e-97
2023-10-05,0,risk_on,0.9999890570032524,1.094299653764672e-05,1.8541948842144676e-94
2023-10-06,0,risk_on,0.9999961896482835,3.810351177197727e-06,3.350988796226738e-92
2023-10-09,0,risk_on,0.9999896353247629,1.036467434582963e-05,4.8617841002179065e-82
2023-10-10,0,risk_on,0.9999999154788419,8.452142874615618e-08,7.602564300574384e-97
2023-10-11,0,risk_on,0.9999999585070336,4.14921807404669e-08,4.0384134831660083e-97
2023-10-12,0,risk_on,0.999999609835944,3.901632700742665e-07,1.1178559502140145e-97
2023-10-13,0,risk_on,0.9999999115279973,8.847212761585559e-08,6.35022644839813e-97
2023-10-16,0,risk_on,0.9999998974180978,1.0258196686484243e-07,2.2055393304800428e-90
2023-10-17,0,risk_on,0.9999994566916596,5.433085364537573e-07,1.9127477398568854e-88
2023-10-18,0,risk_on,0.9995397311105231,0.0004602688897668632,1.0948196897265978e-81
2023-10-19,0,risk_on,0.9032245118016267,0.09677548819874682,8.04831079902305e-77
2023-10-20,1,inflation_rates_shock,0.003759074051343319,0.9962409259490298,1.2320533108994324e-71
2023-10-23,1,inflation_rates_shock,3.715611352506631e-05,0.99996284388635,2.854992340311356e-73
2023-10-24,1,inflation_rates_shock,1.21460611081064e-05,0.9999878539393688,1.7043641716570503e-75
2023-10-25,1,inflation_rates_shock,3.839431672380852e-09,0.9999999961601134,3.800104067821624e-76
2023-10-26,1,inflation_rates_shock,6.359194379149873e-11,0.9999999999363354,5.915744326651975e-69
2023-10-27,1,inflation_rates_shock,2.4282252343795333e-11,0.9999999999763531,5.727126978413874e-70
2023-10-30,1,inflation_rates_shock,3.442511506177651e-10,0.999999999656211,3.6777714918600535e-69
2023-10-31,1,inflation_rates_shock,4.6382320562522665e-10,0.9999999995361577,2.592941184885333e-67
2023-11-01,1,inflation_rates_shock,4.739486797723938e-06,0.9999952605124682,2.201933841568568e-67
2023-11-02,1,inflation_rates_shock,0.1800536134615423,0.8199463865387934,7.277567982285251e-78
2023-11-03,0,risk_on,0.7370567940962002,0.26294320590301506,2.9909448457538488e-81
2023-11-06,0,risk_on,0.9598069676166283,0.040193032384077745,5.646195154227071e-82
2023-11-07,0,risk_on,0.963587118021636,0.03641288197916523,6.267302420020105e-87
2023-11-08,0,risk_on,0.9999163329490346,8.36670505547304e-05,2.3755208733059065e-92
2023-11-09,0,risk_on,0.9999972037333451,2.796266479722319e-06,1.5554994541443309e-96
2023-11-10,0,risk_on,0.9999999677165766,3.228389838785366e-08,3.633195349016808e-98
2023-11-13,0,risk_on,0.9999999486462925,5.1353184647490814e-08,1.2025632404497341e-99
2023-11-14,0,risk_on,0.9999999996271072,3.73576429490024e-10,1.0129636922277298e-104
2023-11-15,0,risk_on,0.9999999994652171,5.352249660446125e-10,2.646120640248018e-102
2023-11-16,0,risk_on,0.9999999976462277,2.3538162612504596e-09,6.565838773225096e-99
2023-11-17,0,risk_on,0.9999999971150828,2.8842408798562167e-09,1.827334283367381e-100
2023-11-20,0,risk_on,0.999999998113708,1.8862311640969274e-09,6.582832535573439e-103
2023-11-21,0,risk_on,0.9999999960200512,3.980382957404442e-09,2.0306495536834145e-100
2023-11-22,0,risk_on,0.9999999956198735,4.380713855528469e-09,1.2606162984056584e-99
2023-11-24,0,risk_on,0.9999999777919586,2.220738783915914e-08,3.509157460841076e-96
2023-11-27,0,risk_on,0.999999884934375,1.1506556473057862e-07,2.5102594818203312e-93
2023-11-28,0,risk_on,0.9999996479801376,3.520191492386412e-07,1.605808822342424e-92
2023-11-29,0,risk_on,0.9999998344246842,1.6557585669867503e-07,6.98780618955254e-92
2023-11-30,0,risk_on,0.9999999641277106,3.587191147912238e-08,1.2204985365569772e-91
2023-12-01,0,risk_on,0.9999998884777659,1.1152305834180892e-07,4.544851076036492e-95
2023-12-04,0,risk_on,0.9999999822393876,1.7760504201337124e-08,5.6167642974816187e-98
2023-12-05,0,risk_on,0.9999999949741323,5.026415545323211e-09,8.361673160373168e-98
2023-12-06,0,risk_on,0.9999999815390768,1.8460666435862672e-08,2.4604147077214287e-95
