date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3,prob_regime_4
2008-05-16,4,mixed_or_neutral_4,2.268122475502865e-30,3.108053285497776e-12,3.0830758367604564e-42,4.279064779965352e-27,0.9999999999972715
2008-05-19,4,mixed_or_neutral_4,2.17965367894995e-29,1.0134837333476583e-12,6.424476986704007e-38,9.024893105761476e-27,0.9999999999990905
2008-05-20,4,mixed_or_neutral_4,1.0371538823283717e-28,1.503944765912425e-12,1.1785202795765728e-40,5.5488699440070825e-27,0.999999999998181
2008-05-21,4,mixed_or_neutral_4,2.890639680740688e-29,8.84596090888317e-12,1.5263914753714858e-49,1.010605369236061e-25,0.999999999990905
2008-05-22,4,mixed_or_neutral_4,8.704376448320853e-29,2.057602517463799e-12,3.0682569815214935e-49,2.7510263177497185e-25,0.999999999998181
2008-05-23,4,mixed_or_neutral_4,7.276423103335453e-29,6.406243132828682e-12,4.655778262941702e-54,5.9723805697498604e-24,0.9999999999936335
2008-05-27,4,mixed_or_neutral_4,3.447300303372644e-29,5.319928986837151e-12,6.683670322101831e-47,9.508773463579195e-24,0.999999999994543
2008-05-28,4,mixed_or_neutral_4,4.811198930364262e-29,1.5702970373529232e-12,2.041188364127073e-43,9.996918344096303e-25,0.999999999998181
2008-05-29,4,mixed_or_neutral_4,1.1073382402404043e-28,4.694757191201554e-12,6.080390850596786e-44,1.0417875186392046e-25,0.9999999999954525
2008-05-30,4,mixed_or_neutral_4,1.7322070021707892e-31,2.423472510899435e-12,1.2908879602613798e-44,1.858524609254639e-24,0.9999999999972715
2008-06-02,4,mixed_or_neutral_4,2.124004111122636e-34,2.470314460950312e-13,5.363950501471928e-47,4.683152722140686e-22,1.0
2008-06-03,4,mixed_or_neutral_4,3.327465116862096e-32,9.330475163763794e-15,1.7745077768891132e-47,3.1350890755822554e-23,1.0
2008-06-04,4,mixed_or_neutral_4,1.5759826502627005e-33,2.01909022382767e-14,1.830480503200523e-46,1.5681095405533222e-24,1.0
2008-06-05,4,mixed_or_neutral_4,1.286622739391739e-32,2.4992281173278604e-15,5.917212821820006e-39,4.347389249964949e-25,1.0
2008-06-06,4,mixed_or_neutral_4,3.4969224403676522e-31,3.324563039170589e-14,5.496289658959292e-53,2.2895979334196213e-24,1.0
2008-06-09,4,mixed_or_neutral_4,6.790092032264664e-25,4.4314199904608855e-13,4.902215136226186e-53,2.44163798568665e-24,1.0
2008-06-10,4,mixed_or_neutral_4,1.3083496130822816e-25,2.739162600402728e-10,7.171171623478917e-51,1.0830648832576152e-24,0.9999999997262421
2008-06-11,4,mixed_or_neutral_4,2.6074951027103888e-27,1.0382192546986227e-10,5.951963439866231e-59,1.7749654076575415e-21,0.9999999998963176
2008-06-12,4,mixed_or_neutral_4,3.6804546214892625e-27,1.1833932783976354e-10,2.954257717308845e-57,3.460462223830695e-23,0.9999999998817657
2008-06-13,4,mixed_or_neutral_4,3.6923043300508207e-28,1.1786271702727703e-11,4.364031750586049e-54,1.2962415847862972e-23,0.9999999999881766
2008-06-16,4,mixed_or_neutral_4,1.5255068521709626e-26,9.364966033632099e-12,1.6318564065967266e-53,9.052727578783374e-24,0.999999999990905
2008-06-17,4,mixed_or_neutral_4,1.331662389827734e-29,1.2558239358594367e-09,2.2724206824402455e-50,6.206422144428538e-26,0.9999999987439878
2008-06-18,4,mixed_or_neutral_4,5.077843970945047e-28,3.240016666008889e-10,1.8159791242670957e-55,1.1663792963307746e-22,0.9999999996762199
2008-06-19,4,mixed_or_neutral_4,1.0042740491208473e-28,5.7666201932302126e-09,4.75227048400148e-55,7.3526366579585115e-25,0.9999999942338036
2008-06-20,4,mixed_or_neutral_4,4.5374182016740734e-30,1.4966172284493618e-10,3.493987385569628e-64,1.9025824507595843e-22,0.9999999998499334
