date,regime,regime_label,prob_regime_0,prob_regime_1
2023-10-12,1,risk_on,4.863345092590424e-81,1.0
2023-10-13,1,risk_on,2.8860569228711236e-79,1.0
2023-10-16,1,risk_on,5.833269211123286e-75,1.0
2023-10-17,1,risk_on,1.0042596651408398e-75,1.0
2023-10-18,1,risk_on,2.981371999182789e-72,1.0
2023-10-19,1,risk_on,8.761969380586165e-70,1.0
2023-10-20,1,risk_on,1.7324051040490866e-65,1.0
2023-10-23,1,risk_on,3.0539651020426523e-66,1.0
2023-10-24,1,risk_on,6.462766503235597e-68,1.0
2023-10-25,1,risk_on,4.556517501031055e-68,1.0
2023-10-26,1,risk_on,6.245579711238687e-62,1.0
2023-10-27,1,risk_on,7.974080947416726e-63,1.0
2023-10-30,1,risk_on,2.3357725703578833e-62,1.0
2023-10-31,1,risk_on,9.607622145339192e-61,1.0
2023-11-01,1,risk_on,7.891377591607884e-61,1.0
2023-11-02,1,risk_on,2.803898662516689e-69,1.0
2023-11-03,1,risk_on,2.773090665811478e-71,1.0
2023-11-06,1,risk_on,1.0027643669559241e-71,1.0
2023-11-07,1,risk_on,4.973197763915287e-71,1.0
2023-11-08,1,risk_on,2.031365827375634e-76,1.0
2023-11-09,1,risk_on,5.743896488926083e-79,1.0
2023-11-10,1,risk_on,4.2294660743973053e-79,1.0
2023-11-13,1,risk_on,3.812250233508948e-79,1.0
2023-11-14,1,risk_on,2.6502636788704616e-81,1.0
2023-11-15,1,risk_on,7.992573555584646e-80,1.0
2023-11-16,1,risk_on,3.513438868114924e-77,1.0
2023-11-17,1,risk_on,2.520885491637772e-78,1.0
2023-11-20,1,risk_on,6.036217488997999e-80,1.0
2023-11-21,1,risk_on,1.3603023442245258e-78,1.0
2023-11-22,1,risk_on,1.7156315031622855e-78,1.0
2023-11-24,1,risk_on,2.295057579316969e-76,1.0
2023-11-27,1,risk_on,7.248507785516778e-75,1.0
2023-11-28,1,risk_on,1.5596003187478345e-74,1.0
2023-11-29,1,risk_on,6.112074589808695e-73,1.0
2023-11-30,1,risk_on,2.931937034610921e-73,1.0
2023-12-01,1,risk_on,8.154400445498064e-75,1.0
2023-12-04,1,risk_on,7.68115738507614e-77,1.0
2023-12-05,1,risk_on,2.0300679095104114e-76,1.0
2023-12-06,1,risk_on,8.23826335312493e-74,1.0
2023-12-07,1,risk_on,2.7336205128136217e-74,1.0
2023-12-08,1,risk_on,1.9862851617868605e-76,1.0
2023-12-11,1,risk_on,3.1303994837199585e-74,1.0
2023-12-12,1,risk_on,9.528971869996038e-75,1.0
2023-12-13,1,risk_on,7.911290386818602e-73,1.0
2023-12-14,1,risk_on,7.286603130476744e-74,1.0
2023-12-15,1,risk_on,8.566162220741627e-73,1.0
2023-12-18,1,risk_on,5.0503620568371346e-73,1.0
2023-12-19,1,risk_on,1.5395635539682633e-71,1.0
2023-12-20,1,risk_on,8.114816380871187e-64,1.0
2023-12-21,1,risk_on,2.1106059334998921e-63,1.0
2023-12-22,1,risk_on,5.035127785448908e-65,1.0
2023-12-26,1,risk_on,7.406519473198116e-63,1.0
2023-12-27,1,risk_on,2.492440675897898e-62,1.0
2023-12-28,1,risk_on,3.389902662546245e-64,1.0
2023-12-29,1,risk_on,1.2231548624245734e-64,1.0
2024-01-02,1,risk_on,5.045453731014604e-64,1.0
2024-01-03,1,risk_on,1.3157511313139315e-60,1.0
2024-01-04,1,risk_on,3.486745976480352e-60,1.0
2024-01-05,1,risk_on,9.160962403958413e-61,1.0
2024-01-08,1,risk_on,5.413637058046098e-66,1.0
2024-01-09,1,risk_on,4.701619328157341e-67,1.0
2024-01-10,1,risk_on,1.1926425364313977e-66,1.0
2024-01-11,1,risk_on,6.378328656015286e-66,1.0
2024-01-12,1,risk_on,1.8722394154727897e-62,1.0
2024-01-16,1,risk_on,1.807161040022914e-69,1.0
2024-01-17,1,risk_on,6.515494253094823e-76,1.0
2024-01-18,1,risk_on,4.228627762838142e-73,1.0
2024-01-19,1,risk_on,4.703253168657032e-68,1.0
2024-01-22,1,risk_on,4.753170074819038e-65,1.0
2024-01-23,1,risk_on,9.414644292770083e-65,1.0
2024-01-24,1,risk_on,9.562304774766013e-67,1.0
2024-01-25,1,risk_on,7.131043311644308e-65,1.0
2024-01-26,1,risk_on,1.3765057142469066e-59,1.0
2024-01-29,1,risk_on,4.6119491008872126e-63,1.0
2024-01-30,1,risk_on,1.8308788297427528e-61,1.0
2024-01-31,1,risk_on,2.5081122571781838e-55,1.0
2024-02-01,1,risk_on,5.482556423878426e-61,1.0
2024-02-02,1,risk_on,8.865959121354491e-56,1.0
2024-02-05,1,risk_on,6.464136253594693e-54,1.0
2024-02-06,1,risk_on,1.4591727610537646e-54,1.0
2024-02-07,1,risk_on,1.846613970543883e-54,1.0
2024-02-08,1,risk_on,1.6395271493488653e-54,1.0
2024-02-09,1,risk_on,5.658956759144781e-54,1.0
2024-02-12,1,risk_on,3.3984994232165796e-50,1.0
2024-02-13,1,risk_on,3.0254274403134743e-55,1.0
2024-02-14,1,risk_on,1.4657699888727072e-54,1.0
2024-02-15,1,risk_on,4.60981716058368e-51,1.0
2024-02-16,1,risk_on,1.3634915961575915e-52,1.0
2024-02-20,1,risk_on,8.215435139224589e-54,1.0
2024-02-21,1,risk_on,4.2892220623565215e-55,1.0
2024-02-22,1,risk_on,4.66003997166287e-53,1.0
2024-02-23,1,risk_on,2.9909462711686693e-52,1.0
2024-02-26,1,risk_on,2.6325807647719485e-53,1.0
2024-02-27,1,risk_on,1.0216201225248727e-52,1.0
2024-02-28,1,risk_on,1.5855951186298268e-54,1.0
2024-02-29,1,risk_on,1.0610359732485018e-54,1.0
2024-03-01,1,risk_on,9.899553308844603e-54,1.0
2024-03-04,1,risk_on,4.4933899379142165e-57,1.0
2024-03-05,1,risk_on,6.420297102226253e-51,1.0
2024-03-06,1,risk_on,1.5848300051221337e-50,1.0
2024-03-07,1,risk_on,4.180051720019547e-51,1.0
2024-03-08,1,risk_on,7.319355223571639e-52,1.0
2024-03-11,1,risk_on,4.2569849192223243e-54,1.0
2024-03-12,1,risk_on,3.4755205360488616e-53,1.0
2024-03-13,1,risk_on,2.4518605692888977e-54,1.0
2024-03-14,1,risk_on,2.081700989239519e-54,1.0
2024-03-15,1,risk_on,8.693665481731008e-52,1.0
2024-03-18,1,risk_on,5.374497950274958e-53,1.0
2024-03-19,1,risk_on,6.335594335435847e-52,1.0
2024-03-20,1,risk_on,2.8652638976059208e-50,1.0
2024-03-21,1,risk_on,6.690835811994028e-50,1.0
2024-03-22,1,risk_on,4.0642780319559346e-52,1.0
2024-03-25,1,risk_on,1.134040655927799e-53,1.0
2024-03-26,1,risk_on,1.3217982619483029e-53,1.0
2024-03-27,1,risk_on,2.6750179985614435e-54,1.0
2024-03-28,1,risk_on,4.276538989981946e-56,1.0
2024-04-01,1,risk_on,1.0198982901157594e-57,1.0
2024-04-02,1,risk_on,5.299831354079791e-58,1.0
2024-04-03,1,risk_on,3.7579070163122773e-56,1.0
2024-04-04,1,risk_on,1.8966556748949848e-53,1.0
2024-04-05,1,risk_on,6.044094775444224e-51,1.0
2024-04-08,1,risk_on,9.197419034551167e-52,1.0
2024-04-09,1,risk_on,2.4182368093284126e-50,1.0
2024-04-10,1,risk_on,2.237496393662482e-53,1.0
2024-04-11,1,risk_on,5.289330703747666e-54,1.0
2024-04-12,1,risk_on,8.726136452370859e-52,1.0
2024-04-15,1,risk_on,2.094953501520595e-51,1.0
2024-04-16,1,risk_on,2.574747824516109e-50,1.0
2024-04-17,1,risk_on,1.5307230960508972e-48,1.0
